roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold,l2_reg,l1_reg
0.96086,2597,888469,3108834,100,0.962922,0.777733,0.865388,11036.432813,0.067425,skipgram150,state_code,8,0.000674,2.0,
0.879722,2258,1138798,2858573,371,0.858882,0.715113,0.783708,6844.077388,0.065725,skipgram150,state_code,4,0.000657,,
0.881626,2281,1145902,2851469,348,0.86763,0.713336,0.78671,6836.383925,0.065725,skipgram150,state_code,4,0.000657,,
0.884921,2262,1081650,2915709,379,0.856494,0.729409,0.790401,10258.923801,0.066025,skipgram300,state_code,4,0.00066,,
0.963717,2599,879156,3118147,98,0.963663,0.780063,0.867017,11046.882574,0.067425,skipgram150,state_code,8,0.000674,2.0,
0.964984,2458,868146,3129321,75,0.970391,0.782826,0.871577,13477.769418,0.063325,skipgram150,state_code,8,0.000633,,
0.883448,2271,1135810,2861561,358,0.863827,0.715861,0.786371,6837.164338,0.065725,skipgram150,state_code,4,0.000657,,
0.885779,2275,1106733,2890627,366,0.861416,0.723134,0.789252,10464.432024,0.066025,skipgram300,state_code,4,0.00066,,
0.961694,2602,893500,3103803,95,0.964776,0.776474,0.865519,11843.306945,0.067425,skipgram150,state_code,8,0.000674,2.0,
0.879805,2248,1123311,2874061,381,0.855078,0.718988,0.784086,7294.681897,0.065725,skipgram150,state_code,4,0.000657,,
0.961509,2447,876491,3120976,86,0.966048,0.780738,0.868465,14159.471567,0.063325,skipgram150,state_code,8,0.000633,,
0.881708,2269,1137151,2860225,355,0.86471,0.715526,0.786589,12358.0194,0.0656,skipgram300,state_code,4,0.000656,,
0.956587,2582,907508,3089796,115,0.95736,0.77297,0.860239,11997.937624,0.067425,skipgram150,state_code,8,0.000674,2.0,
0.96595,2458,867600,3129867,75,0.970391,0.782963,0.871653,11265.124464,0.063325,skipgram150,state_code,8,0.000633,,
0.882479,2230,1101210,2896166,394,0.849848,0.724517,0.784684,10239.583544,0.0656,skipgram300,state_code,4,0.000656,,
0.959774,2429,917783,3079713,75,0.970048,0.770411,0.864485,11177.262212,0.0626,skipgram150,state_code,8,0.000626,2.0,
0.965657,2452,860451,3137017,81,0.968022,0.784751,0.871583,11352.64167,0.063325,skipgram150,state_code,8,0.000633,,
